edge_id,route_id,source,target,geom,length_m,kind,route_name,route_ref,sign_type,sign_num,state,fclass,aadt,aadt_com,through_lanes
871,328051,163833,163883,"LINESTRING(-97.7750090001101 45.7913569999849,-97.7735589997656 45.7913569999849,-97.7731400003643 45.7913560002965,-97.7729369999747 45.7913549999817)",161.10675592637833,truck_route,S 10,S 10,S,10,SD,4,1067,110,2
872,328062,164310,164361,"LINESTRING(-97.754842999673 45.7912980001705,-97.7538950003671 45.7912860001369,-97.7535329999689 45.7912810004353,-97.7527709995375 45.7912800001191)",161.12403335063254,truck_route,S 10,S 10,S,10,SD,4,1897,137,2
873,328065,164682,164731,"LINESTRING(-97.7399120007243 45.7912179998976,-97.7386450006779 45.7912260005564,-97.7383890005849 45.7912270002472,-97.7381419998144 45.7912240005484,-97.7378410004138 45.7912210002231)",161.03841259017682,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
874,328074,164914,164923,"LINESTRING(-97.7316289993071 45.7911939997933,-97.7311129998214 45.7911919997842,-97.7310900002552 45.7911919997842)",41.910038699579744,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
875,328083,166011,166061,"LINESTRING(-97.6984969999266 45.7910380001165,-97.6964259996161 45.7910310003777)",161.03124196870797,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
876,328086,165644,165693,"LINESTRING(-97.7129919997555 45.7911160000095,-97.711882000068 45.7911109996663,-97.710920999445 45.791105000256)",161.0339071174842,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
877,328087,165741,165794,"LINESTRING(-97.7088509998577 45.7910910001681,-97.7067800004455 45.7910779997701)",161.03563159087412,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
878,328093,166061,166134,"LINESTRING(-97.6964259996161 45.7910310003777,-97.6963800004837 45.7910310003777,-97.6943560000288 45.7910179999657)",160.95821370813994,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
879,328094,166206,166269,"LINESTRING(-97.6922849997183 45.7910050001771,-97.6902140003061 45.7909920003854)",161.03587863047167,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
880,328096,166334,166402,"LINESTRING(-97.6881439998205 45.7909749993041,-97.6879960005808 45.7909730005399,-97.6860769997079 45.7909629998273)",160.724803920241,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
881,328109,167095,167145,"LINESTRING(-97.6612730001538 45.790792000269,-97.6592060000413 45.7907780001024)",160.7265795058906,truck_route,S 10,S 10,S,10,SD,4,1329,217,2
882,328134,168379,168425,"LINESTRING(-97.6199310000494 45.7905020004853,-97.6178630001119 45.7904850005073)",160.80872725031645,truck_route,S 10,S 10,S,10,SD,4,739,103,2
883,328135,168135,168136,"LINESTRING(-97.6265900001465 45.8006979999772,-97.6265769997277 45.8021480003428)",161.1669957046645,truck_route,S 27,S 27,S,27,SD,4,644,107,2
884,328171,168151,168152,"LINESTRING(-97.6264730008689 45.8209709994835,-97.6264660002979 45.8224169996093)",160.7207039209233,truck_route,S 27,S 27,S,27,SD,4,644,107,2
885,328187,168178,168180,"LINESTRING(-97.6261570005014 45.8499590002453,-97.6261320003871 45.8514109998329)",161.3991141347914,truck_route,S 27,S 27,S,27,SD,4,644,107,2
886,328204,168192,168194,"LINESTRING(-97.6259909999218 45.8629959995125,-97.6259900000969 45.8630900006744,-97.625985000074 45.8635710001794,-97.6259740002033 45.8644470000184)",161.2822011121634,truck_route,S 27,S 27,S,27,SD,4,644,107,2
887,328213,169838,169866,"LINESTRING(-97.5642010002462 45.7759560006747,-97.5641040001618 45.7759089998099,-97.5633910001343 45.7755580001644,-97.56251699955 45.7751170002092)",160.7838935807718,truck_route,S 10,S 10,S,10,SD,4,739,103,2
888,328220,170252,170654,"LINESTRING(-97.5523939995976 45.7701019999701,-97.5516669993264 45.7697389998333,-97.5507080001499 45.769265000583)",160.78997815892964,truck_route,S 10,S 10,S,10,SD,4,739,103,2
889,328222,169452,169484,"LINESTRING(-97.582767000551 45.7851459998877,-97.5815280000937 45.7845350004352,-97.5810789996568 45.7843109997663)",160.7599404328089,truck_route,S 10,S 10,S,10,SD,4,739,103,2
890,328223,169523,169564,"LINESTRING(-97.5793930002091 45.7834730001777,-97.5778779995673 45.7827240004276,-97.57770399949 45.7826380000565)",160.8261564798394,truck_route,S 10,S 10,S,10,SD,4,739,103,2
891,328227,169655,169689,"LINESTRING(-97.5743240001986 45.780971999384,-97.5736089996229 45.7806189992682,-97.5726379998525 45.7801349996153)",160.76932518464432,truck_route,S 10,S 10,S,10,SD,4,739,103,2
892,328238,170764,170789,"LINESTRING(-97.5473389998308 45.7675880001291,-97.5469719994097 45.7674029999089,-97.5462829996716 45.7670170000174,-97.5457300003759 45.7666809996389)",160.80026101770198,truck_route,S 10,S 10,S,10,SD,4,739,103,2
893,328243,171268,171288,"LINESTRING(-97.5331839997605 45.7534779996049,-97.5327379996967 45.752947999674,-97.5321230004768 45.7522359998863)",160.84794958304917,truck_route,S 10,S 10,S,10,SD,4,739,103,2
894,328259,168210,168211,"LINESTRING(-97.625764000141 45.8818169994543,-97.6257599999431 45.8821699999196,-97.6257540000953 45.8827670006779,-97.6257480002475 45.8832670002606)",161.17098892393685,truck_route,S 27,S 27,S,27,SD,4,644,107,2
895,328267,168222,168223,"LINESTRING(-97.6256290004218 45.8919690001997,-97.6256279996986 45.8920440001302,-97.6256210000259 45.8932309999411)",140.27176751982924,truck_route,S 27,S 27,S,27,SD,4,644,107,2
896,328268,168224,168225,"LINESTRING(-97.6256210000259 45.8933180006002,-97.625620000201 45.893418999872)",11.22626001236841,truck_route,S 27,S 27,S,27,SD,4,644,107,2
897,328293,168259,168260,"LINESTRING(-97.625291000313 45.9310660001888,-97.6252750004195 45.9325140003663)",160.94998318120776,truck_route,S 27,S 27,S,27,SD,4,644,107,2
898,328294,168267,168277,"LINESTRING(-97.6250610001593 45.9339499997071,-97.6250100001056 45.9341199997268,-97.6247599998604 45.9347500002535,-97.6244369998202 45.9353289995789)",161.02343772538765,truck_route,S 27,S 27,S,27,SD,4,644,107,2
