osm_id,state,state_source
node/10227952822,NM,overture
node/10227987197,NM,osm
node/10228325504,SC,osm
node/10229039840,NC,osm
node/10229441079,ID,overture
node/10229694841,WI,osm
node/10231648996,TN,overture
node/10231648997,TN,overture
node/10231648998,TN,overture
node/10231954669,GA,overture
node/10232206491,KY,overture
node/10232218090,KY,overture
node/10232218091,KY,overture
node/10232251450,PA,overture
node/10233346980,SC,osm
node/10234003850,WV,nearest truck route
node/10234003852,WV,nearest truck route
node/10234431660,NC,overture
node/10234770701,AZ,osm
node/10234930490,VA,osm
node/10234948533,IL,osm
node/10235207781,AZ,osm
node/10236688100,NJ,overture
node/10236688106,NJ,overture
node/10236712013,NJ,overture
node/1023736932,CO,overture
node/10237494756,SC,overture
node/10237823769,AZ,osm
node/10238018642,NC,osm
node/1023883703,PA,overture
node/10239196081,CO,overture
node/10239301326,AZ,osm
node/10239494941,CA,nearest truck route
node/10240472379,OK,osm
node/10240903953,CA,overture
node/10241200838,CA,overture
node/10241661132,SC,overture
node/10241664978,SC,overture
node/10241851911,WV,overture
node/10243538785,CA,overture
node/10243538786,CA,overture
node/10243659659,NH,overture
node/10243978198,CA,overture
node/10244328792,WA,overture
node/10245492307,TX,overture
node/10245599424,TX,overture
node/10245862260,TX,overture
node/10245862263,TX,overture
node/10245927236,NC,overture
node/10246212588,CA,overture
node/10246252477,CA,overture
node/10246266596,CA,overture
node/10246266597,CA,overture
node/10246869874,NJ,nearest truck route
node/10246877083,TX,nearest truck route
node/10247195047,OK,overture
node/10247508567,UT,nearest truck route
node/10247623562,CA,nearest truck route
node/10247836978,IA,osm
node/10247920578,NY,nearest truck route
node/10247965689,SC,overture
node/10247965692,SC,overture
node/10247965694,SC,overture
node/10249535681,MN,overture
node/10249583931,NJ,overture
node/10250061434,IL,nearest truck route
node/10251632846,TX,overture
node/10251774579,WA,overture
node/10251807882,NH,overture
node/10253671825,CA,osm
node/10254145864,TX,nearest truck route
node/1025739631,CA,overture
node/1025739640,CA,overture
node/1025739643,CA,overture
node/10258265646,CA,overture
node/1025882560,MD,osm
node/10259071184,CA,osm
node/10262076222,NC,overture
node/10263014400,CA,nearest truck route
node/10263258096,NY,overture
node/10263321564,CA,nearest truck route
node/10264024499,GA,nearest truck route
node/10265872075,PA,overture
node/10266317591,CA,overture
node/10266317592,CA,overture
node/10266368265,CA,nearest truck route
node/10266689448,SC,nearest truck route
node/10266828181,AL,nearest truck route
node/10268078938,CA,overture
node/10268080240,CA,overture
node/10268582932,VT,overture
node/10268897481,SC,nearest truck route
node/10268897482,SC,nearest truck route
node/10268934512,MA,overture
node/10268934710,MA,overture
node/10268956313,SC,overture
node/10268971413,SC,nearest truck route
node/10269303001,IL,nearest truck route
node/1026951328,MD,osm
node/10269720518,WI,osm
node/10269869624,NY,overture
node/10270138044,NY,overture
node/10270138509,CT,nearest truck route
node/10270172962,WI,osm
node/10270375168,TN,nearest truck route
node/10270827149,TN,overture
node/10271430233,MD,overture
node/10271749949,TX,overture
node/10272254579,CA,overture
node/10272254580,CA,overture
node/10273464874,NC,osm
node/10274642008,SC,overture
node/10274726337,CA,overture
node/10274726342,CA,overture
node/10274960342,CA,overture
node/10276034322,NC,osm
node/10276282996,NY,nearest truck route
node/10276466342,CA,overture
node/10276480605,CA,overture
node/10276701954,MO,nearest truck route
node/1027676941,NJ,nearest truck route
node/10276952751,CA,nearest truck route
node/10276959265,OH,overture
node/10276959286,OH,overture
node/10276959380,OH,overture
node/10276959699,CA,overture
node/10277265611,CA,overture
node/10277265653,CA,overture
node/10278285947,MO,overture
node/10278438469,NC,osm
node/10278567456,VA,osm
node/10278575017,NM,osm
node/10278610576,CA,overture
node/10278713748,GA,overture
node/10279027380,MO,overture
node/10279030886,MO,overture
node/10279126535,MI,overture
node/10279137886,CA,overture
node/10279137902,CA,overture
node/10279205218,CA,overture
node/10279205221,CA,overture
node/10279363739,FL,overture
node/10279471258,CA,overture
node/10279493617,CA,overture
node/10279493631,CA,overture
node/10280080625,NC,osm
